FamilyName;Type
ABCtran;Globular
CorA;Globular
GDCP;Globular
Globin;Globular
Glycohydro19;Globular
GreAGreB;Globular
HelicaseC;Globular
MgtE;Globular
MIP;Globular
PBP;Globular
PeptidaseC25;Globular
PFLlike;Globular
PIN;Globular
Pkinase;Globular
PPbinding;Globular
PUD;Globular
Rhomboid;Globular
TerB;Globular
Thaumatin;Globular
ValtRNAsyntC;Globular
Annexin;Repeat
Arm;Repeat
Collagen;Repeat
CWbinding1;Repeat
Fer4;Repeat
Filamin;Repeat
HEAT;Repeat
HemolysinCabind;Repeat
Hexapep;Repeat
Kelch1;Repeat
Ldlrecepta;Repeat
Ldlreceptb;Repeat
LRR1;Repeat
Mitocarr;Repeat
MORN;Repeat
Nebulin;Repeat
NEWAnk;Repeat
NEWWD40;Repeat
PD40;Repeat
Pentapeptide;Repeat
PPR;Repeat
PUF;Repeat
Sel1;Repeat
TPR1;Repeat
TSP1;Repeat
YadAhead;Repeat